Sepal.Length	Sepal.Width	Petal.Length	Petal.Width
sampl_1	5.1	3.5	1.4	0.2
sampl_2	4.9	3	1.4	0.2
sampl_3	4.7	3.2	1.3	0.2
sampl_4	4.6	3.1	1.5	0.2
sampl_5	5	3.6	1.4	0.2
sampl_6	5.4	3.9	1.7	0.4
sampl_7	4.6	3.4	1.4	0.3
sampl_8	5	3.4	1.5	0.2
sampl_9	4.4	2.9	1.4	0.2
sampl_10	4.9	3.1	1.5	0.1
sampl_11	5.4	3.7	1.5	0.2
sampl_12	4.8	3.4	1.6	0.2
sampl_13	4.8	3	1.4	0.1
sampl_14	4.3	3	1.1	0.1
sampl_15	5.8	4	1.2	0.2
sampl_16	5.7	4.4	1.5	0.4
sampl_17	5.4	3.9	1.3	0.4
sampl_18	5.1	3.5	1.4	0.3
sampl_19	5.7	3.8	1.7	0.3
sampl_20	5.1	3.8	1.5	0.3
sampl_21	5.4	3.4	1.7	0.2
sampl_22	5.1	3.7	1.5	0.4
sampl_23	4.6	3.6	1	0.2
sampl_24	5.1	3.3	1.7	0.5
sampl_25	4.8	3.4	1.9	0.2
sampl_26	5	3	1.6	0.2
sampl_27	5	3.4	1.6	0.4
sampl_28	5.2	3.5	1.5	0.2
sampl_29	5.2	3.4	1.4	0.2
sampl_30	4.7	3.2	1.6	0.2
sampl_31	4.8	3.1	1.6	0.2
sampl_32	5.4	3.4	1.5	0.4
sampl_33	5.2	4.1	1.5	0.1
sampl_34	5.5	4.2	1.4	0.2
sampl_35	4.9	3.1	1.5	0.2
sampl_36	5	3.2	1.2	0.2
sampl_37	5.5	3.5	1.3	0.2
sampl_38	4.9	3.6	1.4	0.1
sampl_39	4.4	3	1.3	0.2
sampl_40	5.1	3.4	1.5	0.2
sampl_41	5	3.5	1.3	0.3
sampl_42	4.5	2.3	1.3	0.3
sampl_43	4.4	3.2	1.3	0.2
sampl_44	5	3.5	1.6	0.6
sampl_45	5.1	3.8	1.9	0.4
sampl_46	4.8	3	1.4	0.3
sampl_47	5.1	3.8	1.6	0.2
sampl_48	4.6	3.2	1.4	0.2
sampl_49	5.3	3.7	1.5	0.2
sampl_50	5	3.3	1.4	0.2
sampl_51	7	3.2	4.7	1.4
sampl_52	6.4	3.2	4.5	1.5
sampl_53	6.9	3.1	4.9	1.5
sampl_54	5.5	2.3	4	1.3
sampl_55	6.5	2.8	4.6	1.5
sampl_56	5.7	2.8	4.5	1.3
sampl_57	6.3	3.3	4.7	1.6
